"primary_cluster","secondary_cluster","Kim Young-sam	(Democratic Liberal)","Kim Dae-jung (Democratic)","Chung Ju-yung	(Unification National)","Park Chan-jong (New Political Reform)","Lee Byeong-ho	(Korean Justice)","Kim Ok-sun (Independent)","Baek Gi-Wan	(Independent)","invalid","blank"
"Busan","Jung-gu",32570,5236,2715,3031,17,40,413,427,9028
"Busan","Seo-gu",85151,12495,6136,8378,47,163,1074,1199,24173
"Busan","Dong-gu",75752,11416,5415,7842,43,154,990,956,20368
"Busan","Yeongdo-gu",78295,17549,5677,8635,43,174,984,1141,25663
"Busan","Busanjin-gu-A",101607,19478,8793,8477,67,220,1637,1406,28637
"Busan","Busanjin-gu-B",103645,16686,7842,8397,74,221,1580,1455,27110
"Busan","Dongnae-gu-A",135418,19305,13336,12144,65,237,2044,1569,33644
"Busan","Dongnae-gu-B",103941,17656,9661,9315,55,200,1502,1203,27431
"Busan","Nam-gu-A",108152,17600,9537,9471,62,223,1477,1259,28422
"Busan","Nam-gu-B",116501,18106,10638,10474,72,220,1766,1468,30317
"Busan","Buk-gu-A",113250,19267,9678,8954,72,261,1365,1517,31519
"Busan","Buk-gu-B",86469,21317,7266,5985,57,213,1183,1287,25451
"Busan","Haeundae-gu",104139,20140,10955,10163,83,291,1604,1358,32567
"Busan","Saha-gu",145413,24394,11013,13595,111,272,1707,1849,41208
"Busan","Geumjeong-gu",125666,20758,12949,12102,76,275,2043,1605,35159
"Busan","Gangseo-gu",35504,3652,2296,2041,34,72,367,458,9588
"Chungcheongbuk-do","Cheongju-si-A",36014,26411,24440,11265,504,443,1142,1605,23959
"Chungcheongbuk-do","Cheongju-si-B",46796,37870,32451,15946,592,606,1379,2116,34931
"Chungcheongbuk-do","Chungju-si",27717,14981,18341,7549,262,306,933,1152,17982
"Chungcheongbuk-do","Jungwon-gun",14870,9875,8979,2950,290,290,467,962,8659
"Chungcheongbuk-do","Jecheon-si",25006,10266,13293,5798,176,213,680,929,12324
"Chungcheongbuk-do","Cheongwon-gun",22509,19239,15319,5756,495,544,817,1470,15659
"Chungcheongbuk-do","Yeongdong-gun",16518,8984,6866,2973,229,298,463,903,7883
"Chungcheongbuk-do","Boeun-gun",10491,8583,7773,2031,286,243,333,671,6428
"Chungcheongbuk-do","Okcheon-gun",14959,9733,8716,3312,289,336,451,820,7966
"Chungcheongbuk-do","Goesan-gun",20371,13428,9373,3138,327,326,534,1113,10409
"Chungcheongbuk-do","Eumseong-gun",15391,12690,11300,3056,378,360,486,845,9656
"Chungcheongbuk-do","Jincheon-gun",8954,9840,8193,2057,712,238,350,626,6825
"Chungcheongbuk-do","Jecheon-gun",9145,5227,4315,1345,124,192,314,503,4174
"Chungcheongbuk-do","Danyang-gun",12937,4616,6408,1724,180,173,322,597,5363
"Chungcheongnam-do","Cheonan-si",34990,23679,25517,9367,200,497,866,1476,27057
"Chungcheongnam-do","Gongju-si",11350,7100,6866,2491,59,178,242,449,7202
"Chungcheongnam-do","Gongju-gun",18084,12333,10240,2992,215,381,497,1220,12788
"Chungcheongnam-do","Daecheon-si",9680,6028,8191,1673,68,294,261,459,7203
"Chungcheongnam-do","Boryeong-gun",14038,9641,10925,2100,271,772,482,967,11008
"Chungcheongnam-do","Onyang-si",11943,7516,8419,2163,96,134,286,491,8978
"Chungcheongnam-do","Asan-gun",17458,13917,11969,3017,260,372,500,980,13413
"Chungcheongnam-do","Geumsan-gun",14699,12026,9096,2878,194,384,486,975,10852
"Chungcheongnam-do","Yeongi-gun",17532,11069,11440,4009,215,309,489,1052,11432
"Chungcheongnam-do","Nonsan-gun",26871,34968,16594,5773,294,776,974,1841,22260
"Chungcheongnam-do","Buyeo-gun",25819,15874,11184,3604,239,1076,642,1364,14429
"Chungcheongnam-do","Seocheon-gun",18791,14240,9597,2615,190,1494,541,1126,13119
"Chungcheongnam-do","Hongseong-gun",20839,16146,13959,3129,206,490,629,1350,13745
"Chungcheongnam-do","Cheongyang-gun",10399,8028,5610,1349,162,351,297,746,7378
"Chungcheongnam-do","Yesan-gun",23376,16993,14020,3564,249,536,572,1358,17485
"Chungcheongnam-do","Seosan-si",8084,6497,10292,1556,87,146,301,431,6887
"Chungcheongnam-do","Seosan-gun",13618,12829,14605,2346,245,421,558,984,11759
"Chungcheongnam-do","Taean-gun",13033,11042,11133,1765,251,322,451,885,11021
"Chungcheongnam-do","Dangjin-gun",20678,18904,17384,3664,358,527,603,1311,18033
"Chungcheongnam-do","Cheonan-gun",20507,13091,13359,4062,284,439,508,1151,13467
"Daegu","Jung-gu",42989,5571,14120,7890,67,165,885,991,19092
"Daegu","Dong-gu-A",61370,8635,20817,13759,98,281,1388,1280,29918
"Daegu","Dong-gu-B",47351,6875,16308,10287,117,250,934,1144,24489
"Daegu","Seo-gu-A",60350,8135,19936,12013,70,276,997,1181,28270
"Daegu","Seo-gu-B",54552,7010,16809,9855,118,270,958,1306,25150
"Daegu","Nam-gu",79591,10363,25465,15905,103,251,1565,1639,36821
"Daegu","Buk-gu",99721,12637,30339,19013,173,427,1876,2208,46772
"Daegu","Suseong-gu-A",61169,7836,20923,12447,78,206,1134,1142,27683
"Daegu","Suseong-gu-B",64513,8102,20619,11746,82,186,1123,1036,27307
"Daegu","Dalseo-gu-A",58654,7657,19477,11832,105,245,987,1296,27934
"Daegu","Dalseo-gu-B",59985,7820,19829,11290,92,196,925,1220,27985
"Daejeon","Yuseong-gu",12073,9988,8202,3852,112,212,399,659,9745
"Daejeon","Dong-gu-A",32795,26253,21332,10116,146,391,997,1505,22788
"Daejeon","Dong-gu-B",23708,20382,15566,7587,108,256,695,999,17215
"Daejeon","Jung-gu",53310,42519,36536,16869,237,550,1479,1987,38130
"Daejeon","Seo-gu",47527,38846,30648,15852,199,524,1249,1754,31517
"Daejeon","Daedeok-gu",32724,27079,21362,10250,159,361,953,1306,23575
"Gangwon-do","Chuncheon-si",36945,15291,35166,8865,193,402,1199,1382,21355
"Gangwon-do","Wonju-si",33822,15798,33280,7239,253,341,1070,1241,19330
"Gangwon-do","Gangneung-si",31050,11153,28016,5925,162,275,993,1163,19430
"Gangwon-do","Donghae-si",22316,6392,15426,3968,135,161,497,694,12760
"Gangwon-do","Taebaek-si",21009,4986,8967,2902,79,186,587,671,10241
"Gangwon-do","Myungju-gun",15739,5191,13025,2014,172,184,418,781,9745
"Gangwon-do","Yangyang-gun",7050,3067,6626,977,75,90,203,431,3320
"Gangwon-do","Samcheok-si",9355,2377,8212,1507,69,80,268,347,4730
"Gangwon-do","Samcheok-gun",15735,3114,8707,1565,138,137,397,628,6820
"Gangwon-do","Hongcheon-gun",16984,6559,15393,2088,219,268,435,904,10014
"Gangwon-do","Chuncheon-gun",9635,3425,9509,1603,163,164,306,575,4816
"Gangwon-do","Yanggu-gun",5949,2412,4239,814,46,94,151,299,2838
"Gangwon-do","Inje-gun",7885,3826,5777,1129,106,128,206,417,3864
"Gangwon-do","Wonju-gun",8985,4679,11589,1635,198,154,291,695,5836
"Gangwon-do","Hoengseong-gun",9070,5037,11778,1646,196,200,294,561,6413
"Gangwon-do","Yeongwol-gun",13782,4518,9352,2104,157,184,382,749,7733
"Gangwon-do","Pyeongchang-gun",10592,5181,9601,2079,206,193,352,555,6383
"Gangwon-do","Jeongseon-gun",18606,5739,10679,2245,189,252,524,744,10486
"Gangwon-do","Sokcho-si",17456,6880,12000,2443,60,139,366,507,9713
"Gangwon-do","Goseong-gun",10053,3608,7419,1156,61,97,218,505,4946
"Gangwon-do","Hwacheon-gun",6519,2526,4479,796,55,110,145,269,3209
"Gangwon-do","Cheorwon-gun",11991,5506,10370,1499,115,168,297,518,6145
"Gwangju","Dong-gu",2323,95347,1335,392,18,164,275,686,12541
"Gwangju","Seo-gu-A",2610,106354,1479,531,22,138,238,790,13602
"Gwangju","Seo-gu-B",2803,136988,1651,541,21,190,290,1107,17874
"Gwangju","Buk-gu-A",2155,102160,1151,422,24,173,271,810,12770
"Gwangju","Buk-gu-B",2245,113842,1285,442,17,153,252,838,14365
"Gwangju","Gwangsan-gu",2368,97646,1184,499,31,331,239,966,12351
"Gyeonggi-do","Gwonseon-gu, Suwon-si-A",33307,30661,24892,8059,145,420,1121,1453,26239
"Gyeonggi-do","Gwonseon-gu, Suwon-si-B",31000,24179,22028,7477,87,309,795,1002,22459
"Gyeonggi-do","Jangan-gu, Suwon-si",60555,49140,42572,14138,213,567,1812,2638,41968
"Gyeonggi-do","Sujeong-gu, Seongnam-si",45415,64714,25866,9230,168,533,1394,1881,33680
"Gyeonggi-do","Jungwon-gu, Seongnam-si",44971,62339,26657,8550,161,485,1336,2078,34069
"Gyeonggi-do","Bundang-gu, Seongnam-si",18505,13235,9003,3173,34,94,402,362,8357
"Gyeonggi-do","Manan-gu, Anyang-si",53118,53075,31109,11303,165,416,1658,1876,37588
"Gyeonggi-do","Dongan-gu, Anyang-si",46246,44660,25748,9493,123,333,1218,1263,29845
"Gyeonggi-do","Jung-gu, Bucheon-si-A",31447,39209,18084,5961,91,304,1047,1320,23435
"Gyeonggi-do","Jung-gu, Bucheon-si-B",28206,34041,17535,5686,93,274,884,1249,22610
"Gyeonggi-do","Nam-gu, Bucheon-si",59234,63426,34443,12439,177,500,1920,2003,40704
"Gyeonggi-do","Uijeongbu-si",47784,38376,26845,8409,168,383,1362,1646,31933
"Gyeonggi-do","Gwangmyeong-si",62678,67626,33597,12378,175,541,1864,2344,42647
"Gyeonggi-do","Pyeongtaek-si",17247,12287,11526,3678,90,200,467,694,10575
"Gyeonggi-do","Songtan-si",17593,13118,11566,4182,79,217,555,654,12443
"Gyeonggi-do","Dongducheon-si",16152,11051,8593,2143,64,160,408,690,8450
"Gyeonggi-do","Yangju-gun",20563,12284,10716,2823,122,229,478,925,10866
"Gyeonggi-do","Ansan-si",54784,66853,39260,11467,233,594,1606,2341,48818
"Gyeonggi-do","Ongjin-gun",6546,1748,2180,504,39,66,120,326,2567
"Gyeonggi-do","Gwacheon-si",16268,11419,8077,3466,37,81,450,311,9164
"Gyeonggi-do","Uiwang-si",18061,17304,10634,4016,74,165,544,616,12459
"Gyeonggi-do","Gunpo-si",23934,24451,12749,4792,78,237,678,705,15374
"Gyeonggi-do","Siheung-si",23245,22943,14461,4309,121,247,658,1008,17589
"Gyeonggi-do","Guri-si",24189,21060,14587,4281,104,213,656,935,16844
"Gyeonggi-do","Migeum-si",14692,11210,9369,2688,64,143,443,568,9944
"Gyeonggi-do","Namyangju-gun",27795,19024,18220,5096,173,313,749,1266,20180
"Gyeonggi-do","Yeoju-gun",18634,12503,14922,3204,215,280,752,988,12407
"Gyeonggi-do","Pyeongtaek-gun",20568,17546,17042,3799,172,327,631,1134,14796
"Gyeonggi-do","Osan-si",11655,8845,8226,2152,60,151,372,414,7182
"Gyeonggi-do","Hwaseong-gun",36123,26255,25436,6309,286,557,1075,1902,25859
"Gyeonggi-do","Paju-gun",41044,20891,21601,6277,263,443,1003,1564,20776
"Gyeonggi-do","Goyang-si",49693,43370,32416,9660,222,491,1578,1983,39156
"Gyeonggi-do","Hanam-si",17258,15888,12017,2794,95,171,463,693,13264
"Gyeonggi-do","Gwangju-gun",15272,11225,13080,2489,151,234,350,815,11257
"Gyeonggi-do","Pocheon-gun",29127,13844,16235,4277,257,373,774,1370,13763
"Gyeonggi-do","Yeoncheon-gun",14049,7914,6653,2085,92,185,330,672,6315
"Gyeonggi-do","Yangpyeong-gun",17740,8356,11961,2851,262,337,520,914,10825
"Gyeonggi-do","Gapyeong-gun",12598,5891,8804,1903,136,204,338,723,6371
"Gyeonggi-do","Icheon-gun",27852,15266,27850,4601,248,368,868,1249,17010
"Gyeonggi-do","Yongin-gun",34577,25552,25043,6534,242,535,1100,1592,23546
"Gyeonggi-do","Anseong-gun",25018,16937,17368,4169,237,435,644,1282,14900
"Gyeonggi-do","Gimpo-gun",21079,14938,18609,3760,163,299,609,1022,14509
"Gyeonggi-do","Ganghwa-gun",18203,8844,10776,2535,120,271,360,908,8754
"Gyeongsangbuk-do","Pohang-si",97780,17304,25918,14156,122,399,1678,1655,37487
"Gyeongsangbuk-do","Gyeongju-si",45661,6356,14359,6016,101,220,884,1011,17796
"Gyeongsangbuk-do","Gimcheon-si",30535,3196,5641,3409,53,138,415,524,9199
"Gyeongsangbuk-do","Geumreung-gun",29534,3587,4989,2719,113,211,500,871,9785
"Gyeongsangbuk-do","Andong-si",38333,5630,8632,5378,90,167,767,751,14472
"Gyeongsangbuk-do","Gumi-si",57955,10315,17191,11423,102,310,991,1167,22783
"Gyeongsangbuk-do","Yeongju-si",29054,3940,5934,3915,49,161,486,689,9447
"Gyeongsangbuk-do","Yeongpung-gun",22512,3126,4431,2465,74,174,424,848,6204
"Gyeongsangbuk-do","Yeongcheon-si",16818,2430,4703,2390,33,66,257,355,7239
"Gyeongsangbuk-do","Yeongcheon-gun",25048,4839,6879,3163,136,194,427,766,12446
"Gyeongsangbuk-do","Sangju-si",18581,2436,3707,2302,40,130,306,433,6360
"Gyeongsangbuk-do","Sangju-gun",34123,4903,6846,3624,164,306,570,1415,11462
"Gyeongsangbuk-do","Jeomchon-si",16644,1798,3695,1734,38,79,251,307,5844
"Gyeongsangbuk-do","Mungyeong-gun",22281,2256,4666,1783,122,144,401,824,7475
"Gyeongsangbuk-do","Dalseong-gun",33671,4707,10525,5454,104,222,673,932,18096
"Gyeongsangbuk-do","Goryeong-gun",14427,1975,3397,1653,54,121,230,413,5575
"Gyeongsangbuk-do","Gunwi-gun",14940,1822,3447,1524,70,108,223,507,3788
"Gyeongsangbuk-do","Seonsan-gun",26252,2655,5009,2743,72,140,391,738,7011
"Gyeongsangbuk-do","Uiseong-gun",35566,6348,8345,3833,179,233,527,1305,12408
"Gyeongsangbuk-do","Andong-gun",28752,6026,6637,3246,172,217,705,1260,10719
"Gyeongsangbuk-do","Cheongsong-gun",15224,2878,3243,1644,75,117,268,460,4392
"Gyeongsangbuk-do","Yeongdeok-gun",25234,2647,4647,1631,85,152,351,583,9051
"Gyeongsangbuk-do","Yeongyang-gun",9955,2710,2173,982,56,103,214,373,3418
"Gyeongsangbuk-do","Bonghwa-gun",19399,3086,4416,2620,152,188,417,978,7771
"Gyeongsangbuk-do","Youngil-gun",58962,10453,14287,7997,200,423,1157,1749,26878
"Gyeongsangbuk-do","Ulleung-gun",4968,577,849,431,17,26,61,117,1592
"Gyeongsangbuk-do","Gyeongju-gun",44669,6645,14442,5661,227,349,936,1303,18862
"Gyeongsangbuk-do","Gyeongsan-si",18634,2840,6504,3348,40,102,383,462,9875
"Gyeongsangbuk-do","Gyeongsan-gun",27295,3628,7858,3986,103,190,492,814,12402
"Gyeongsangbuk-do","Cheongdo-gun",23567,2578,4569,2510,94,154,431,784,8059
"Gyeongsangbuk-do","Seongju-gun",21653,2971,4600,2330,99,184,432,783,6680
"Gyeongsangbuk-do","Chilgok-gun",28870,4096,6920,4591,87,176,503,835,10182
"Gyeongsangbuk-do","Yecheon-gun",29136,3663,5343,2419,124,166,545,1123,10126
"Gyeongsangbuk-do","Uljin-gun",25391,3019,5844,1778,118,170,368,706,10182
"Gyeongsangnam-do","Changwon-si-A",75095,11541,7873,6466,64,155,1070,938,18454
"Gyeongsangnam-do","Changwon-si-B",66905,13090,9809,6826,45,167,1171,683,16309
"Gyeongsangnam-do","Jung-gu, Ulsan-si",73795,17020,39727,11194,100,258,1561,1427,27787
"Gyeongsangnam-do","Nam-gu, Ulsan-si",87303,16062,32354,11603,109,235,1324,1373,28604
"Gyeongsangnam-do","Dong-gu, Ulsan-si",26658,17982,45096,6336,78,221,1075,973,13865
"Gyeongsangnam-do","Happo-gu, Masan-si",89194,7361,5224,4080,44,135,1277,1015,18846
"Gyeongsangnam-do","Hoewon-gu, Masan-si",86489,8757,5683,4537,46,153,1278,990,19562
"Gyeongsangnam-do","Jinju-si",106479,9678,7653,7322,83,230,1734,1158,23442
"Gyeongsangnam-do","Jinhae-si",56056,6165,4005,4079,65,145,752,723,10126
"Gyeongsangnam-do","Changwon-gun",40911,2987,2370,1918,45,118,521,599,8225
"Gyeongsangnam-do","Chungmu-si",44393,2317,1367,1498,22,73,365,465,9219
"Gyeongsangnam-do","Tongyeong-gun",24378,800,669,621,19,82,215,416,5414
"Gyeongsangnam-do","Goseong-gun",36985,2348,1596,1495,82,127,494,599,8000
"Gyeongsangnam-do","Samcheonpo-si",28566,2452,1931,1614,27,72,365,439,7202
"Gyeongsangnam-do","Sacheon-gun",26582,2606,1611,1390,34,107,402,534,6079
"Gyeongsangnam-do","Gimhae-si",52473,8195,5344,5058,41,139,564,1095,15427
"Gyeongsangnam-do","Gimhae-gun",39634,3847,3129,2559,39,119,395,631,9177
"Gyeongsangnam-do","Jinyang-gun",37117,3329,2520,2138,77,151,688,693,8185
"Gyeongsangnam-do","Uiryeong-gun",21153,1719,1388,1032,64,134,296,546,4763
"Gyeongsangnam-do","Haman-gun",33915,3064,2380,1890,54,138,510,731,7065
"Gyeongsangnam-do","Changnyeong-gun",39893,3355,3233,2136,67,132,516,671,10797
"Gyeongsangnam-do","Miryang-si",19626,1870,2380,1473,16,78,299,271,5787
"Gyeongsangnam-do","Miryang-gun",37851,3889,4169,2629,71,195,539,751,10557
"Gyeongsangnam-do","Yangsan-gun",68781,9602,9496,6454,85,272,986,1177,22636
"Gyeongsangnam-do","Ulsan-gun",50678,8146,14181,5766,135,257,792,979,17290
"Gyeongsangnam-do","Jangseungpo-si",19311,4692,842,1463,5,53,506,173,3404
"Gyeongsangnam-do","Geoje-gun",48626,2559,1052,1077,17,72,350,687,5674
"Gyeongsangnam-do","Hadong-gun",31025,3928,2438,1491,73,168,427,748,7709
"Gyeongsangnam-do","Namhae-gun",32664,2586,4431,2204,75,164,414,778,8195
"Gyeongsangnam-do","Hamyang-gun",23487,2624,3615,1391,75,177,480,640,5559
"Gyeongsangnam-do","Sancheong-gun",23636,2425,2102,1138,58,135,383,549,5485
"Gyeongsangnam-do","Geochang-gun",32788,3595,4900,1847,78,219,541,706,7925
"Gyeongsangnam-do","Hapcheon-gun",31596,2782,6567,2361,127,189,573,853,8969
"Incheon","Jung-gu",20657,10549,9191,3293,57,131,543,606,11077
"Incheon","Dong-gu",26045,17906,13269,4828,110,295,942,1026,14024
"Incheon","Nam-gu-A",55932,41522,32341,11903,167,470,1776,1974,33604
"Incheon","Nam-gu-B",51019,34247,27315,10642,154,451,1612,1870,30658
"Incheon","Namdong-gu",70782,57867,43459,15558,238,685,2150,2463,45990
"Incheon","Buk-gu-A",62056,62188,34893,13128,237,613,2093,2281,45936
"Incheon","Buk-gu-B",64329,70436,38744,14917,238,698,1867,2634,51600
"Incheon","Seo-gu",46541,43823,29293,9942,150,524,1472,1869,33064
"Jeju-do","Jeju-si",45617,39122,19696,12392,162,396,1621,1559,30271
"Jeju-do","Bukjeju-gun",23957,15726,7803,4650,173,382,847,1175,13912
"Jeju-do","Seogwipo-si",16042,16955,7228,3051,105,233,535,691,10486
"Jeju-do","Namjeju-gun",18676,14086,7403,2984,123,275,644,943,10549
"Jeollabuk-do","Wansan-gu, Jeonju-si",6075,130676,4507,1349,75,367,575,1492,22896
"Jeollabuk-do","Deokjin-gu, Jeonju-si",5771,133610,4398,1365,56,299,583,1648,23365
"Jeollabuk-do","Gunsan-si",7167,93677,4178,1388,52,367,361,1160,17911
"Jeollabuk-do","Iri-si",5672,101410,3415,1068,43,303,351,1118,17577
"Jeollabuk-do","Jungju-si",1478,35655,1101,240,30,196,125,413,6397
"Jeollabuk-do","Jeongeup-gun",2273,44524,1064,267,76,480,185,799,10456
"Jeollabuk-do","Namwon-si",2113,25956,808,225,24,137,82,319,4313
"Jeollabuk-do","Namwon-gun",2880,29581,899,221,64,515,172,559,6386
"Jeollabuk-do","Wanju-gun",2938,45480,1621,361,63,429,205,822,9425
"Jeollabuk-do","Jinan-gun",2310,21585,1139,213,51,347,106,389,5155
"Jeollabuk-do","Muju-gun",3114,14931,699,256,39,257,98,372,3757
"Jeollabuk-do","Jangsu-gun",1579,16582,531,146,35,251,84,330,3774
"Jeollabuk-do","Imsil-gun",1777,25192,992,170,45,370,136,485,5186
"Jeollabuk-do","Sunchang-gun",1494,22530,709,139,54,374,116,339,4656
"Jeollabuk-do","Gochang-gun",2323,46557,1704,238,98,751,182,719,10333
"Jeollabuk-do","Buan-gun",3019,44457,1795,287,69,462,192,755,10585
"Jeollabuk-do","Gimje-si",1411,22727,928,236,27,146,101,295,4975
"Jeollabuk-do","Gimje-gun",2889,47398,1677,342,60,474,220,755,10252
"Jeollabuk-do","Okgu-gun",2627,34829,1957,309,63,284,143,539,7225
"Jeollabuk-do","Iksan-gun",4265,54126,1801,500,63,321,215,939,10557
"Jeollanam-do","Mokpo-si",2557,115118,1484,452,37,260,256,1142,17344
"Jeollanam-do","Yeosu-si",3591,91521,1824,698,51,237,273,1074,15513
"Jeollanam-do","Suncheon-si",2771,78881,1485,445,28,169,166,863,10795
"Jeollanam-do","Naju-si",640,20332,687,103,5,78,53,185,3025
"Jeollanam-do","Naju-gun",1106,49606,719,162,48,367,125,547,7504
"Jeollanam-do","Yeocheon-si",2412,34707,1112,557,14,108,97,415,5312
"Jeollanam-do","Yeocheon-gun",1906,38331,672,181,38,340,112,550,8056
"Jeollanam-do","Damyang-gun",1170,36955,577,180,40,345,137,463,5572
"Jeollanam-do","Jangseong-gun",947,33348,668,115,37,280,96,381,6433
"Jeollanam-do","Hwasun-gun",1868,40052,649,128,49,373,119,601,6965
"Jeollanam-do","Gokseong-gun",1119,24713,866,127,36,327,83,458,4542
"Jeollanam-do","Gurye-gun",1026,20708,575,112,27,182,59,329,3947
"Jeollanam-do","Seungju-gun",1713,41085,885,148,46,343,144,611,8703
"Jeollanam-do","Donggwangyang-si",5235,21335,1849,1512,26,95,114,234,3789
"Jeollanam-do","Gwangyang-gun",2646,35998,1225,399,31,194,131,453,6457
"Jeollanam-do","Goheung-gun",4035,65850,1180,179,76,555,160,826,13312
"Jeollanam-do","Boseong-gun",2519,40612,1193,186,49,414,165,506,8733
"Jeollanam-do","Jangheung-gun",1321,33500,1487,125,47,346,116,440,7138
"Jeollanam-do","Gangjin-gun",2061,30890,656,144,29,209,73,491,6094
"Jeollanam-do","Wando-gun",1600,40955,1429,138,37,332,84,561,8309
"Jeollanam-do","Haenam-gun",2387,59629,1007,233,66,417,166,810,11714
"Jeollanam-do","Jindo-gun",1322,25921,334,91,22,284,78,430,6146
"Jeollanam-do","Yeongam-gun",1589,36839,666,149,40,310,102,436,6388
