"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"전국  (1000000000)","51,829,023","23,093,108","          2.24","25,841,029","25,987,994","          0.99","51,638,809","23,472,895","          2.20","25,746,684","25,892,125","          0.99","51,439,038","23,705,814","          2.17","25,636,951","25,802,087","          0.99","51,325,329","23,914,851","          2.15","25,565,736","25,759,593","          0.99","51,217,221","24,118,928","          2.12","25,498,324","25,718,897","          0.99"
"서울특별시  (1100000000)","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94","9,428,372","4,446,296","          2.12","4,570,048","4,858,324","          0.94","9,386,034","4,469,417","          2.10","4,540,031","4,846,003","          0.94","9,331,828","4,482,063","          2.08","4,505,355","4,826,473","          0.93"
"부산광역시  (2600000000)","3,391,946","1,530,431","          2.22","1,661,000","1,730,946","          0.96","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96","3,317,812","1,555,867","          2.13","1,619,915","1,697,897","          0.95","3,293,362","1,564,588","          2.10","1,605,431","1,687,931","          0.95","3,266,598","1,570,403","          2.08","1,589,912","1,676,686","          0.95"
"대구광역시  (2700000000)","2,418,346","1,056,627","          2.29","1,193,109","1,225,237","          0.97","2,385,412","1,063,893","          2.24","1,175,632","1,209,780","          0.97","2,363,691","1,070,873","          2.21","1,162,865","1,200,826","          0.97","2,374,960","1,094,148","          2.17","1,166,803","1,208,157","          0.97","2,363,629","1,104,130","          2.14","1,159,601","1,204,028","          0.96"
"인천광역시  (2800000000)","2,942,828","1,267,956","          2.32","1,473,943","1,468,885","          1.00","2,948,375","1,298,647","          2.27","1,476,373","1,472,002","          1.00","2,967,314","1,322,632","          2.24","1,485,175","1,482,139","          1.00","2,997,410","1,350,912","          2.22","1,499,016","1,498,394","          1.00","3,021,010","1,373,827","          2.20","1,509,243","1,511,767","          1.00"
"광주광역시  (2900000000)","1,450,062","633,582","          2.29","717,348","732,714","          0.98","1,441,611","645,712","          2.23","713,015","728,596","          0.98","1,431,050","652,355","          2.19","707,299","723,751","          0.98","1,419,237","655,433","          2.17","700,896","718,341","          0.98","1,408,422","658,075","          2.14","695,224","713,198","          0.97"
"대전광역시  (3000000000)","1,463,882","652,783","          2.24","730,699","733,183","          1.00","1,452,251","664,417","          2.19","724,626","727,625","          1.00","1,446,072","673,429","          2.15","721,245","724,827","          1.00","1,442,216","680,261","          2.12","719,292","722,924","          0.99","1,439,157","687,757","          2.09","717,291","721,866","          0.99"
"울산광역시  (3100000000)","1,136,017","476,893","          2.38","583,708","552,309","          1.06","1,121,592","482,650","          2.32","576,217","545,375","          1.06","1,110,663","486,143","          2.28","570,368","540,295","          1.06","1,103,661","490,690","          2.25","567,153","536,508","          1.06","1,098,049","495,378","          2.22","564,888","533,161","          1.06"
"세종특별자치시  (3600000000)","355,831","144,275","          2.47","177,568","178,263","          1.00","371,895","153,649","          2.42","185,678","186,217","          1.00","383,591","159,386","          2.41","191,389","192,202","          1.00","386,525","160,835","          2.40","192,524","194,001","          0.99","390,685","163,432","          2.39","194,413","196,272","          0.99"
"경기도  (4100000000)","13,427,014","5,676,401","          2.37","6,754,469","6,672,545","          1.01","13,565,450","5,841,995","          2.32","6,827,298","6,738,152","          1.01","13,589,432","5,913,694","          2.30","6,839,276","6,750,156","          1.01","13,630,821","5,978,724","          2.28","6,855,895","6,774,926","          1.01","13,694,685","6,058,202","          2.26","6,882,186","6,812,499","          1.01"
