primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
Seoul,종로구,47735,39574,9326,1754,89,783,26640
Seoul,중구,40482,36302,8450,1120,62,750,23015
Seoul,용산구,58705,67927,13794,2166,102,1119,39801
Seoul,성동구,88028,84043,20217,2300,187,1507,48254
Seoul,광진구,114304,94752,25469,2912,225,2145,61200
Seoul,동대문구,117631,97549,25928,2886,245,2025,61582
Seoul,중랑구,137420,102137,22923,2780,290,2092,74718
Seoul,성북구,152624,111271,29394,4461,246,2303,73703
Seoul,강북구,105780,72792,15575,2240,186,1563,59835
Seoul,도봉구,110614,84148,17568,2387,189,1593,56443
Seoul,노원구,176604,131061,35615,4201,345,2614,80279
Seoul,은평구,171417,118639,28163,4925,311,2681,85653
Seoul,서대문구,107451,81882,21264,3735,178,1751,52849
Seoul,마포구,125049,101016,26948,5053,219,2248,60769
Seoul,양천구,143686,122867,27234,3526,291,2033,68392
Seoul,강서구,196256,149837,38416,4704,411,3255,100131
Seoul,구로구,139034,108039,25433,3282,278,2130,66024
Seoul,금천구,83102,58686,15979,1775,175,1415,44989
Seoul,영등포구,123593,111861,29911,3607,231,2393,63540
Seoul,동작구,128028,111735,29432,3470,241,2389,62690
Seoul,관악구,171149,126951,43385,5231,433,3690,96084
Seoul,서초구,94722,153536,27500,3195,166,1794,64942
Seoul,강남구,119722,210177,37564,3738,205,2356,98968
Seoul,송파구,191678,212094,46194,4790,389,3381,103128
Seoul,강동구,160645,149529,33664,3662,304,2488,78650
Busan,중구,9784,14167,1861,184,26,201,9061
Busan,서구,26800,38496,5081,583,72,559,21295
Busan,동구,22744,31875,4061,429,66,457,18261
Busan,영도구,29962,35217,4133,482,69,479,23567
Busan,부산진구,101093,126802,20697,2156,245,1941,72729
Busan,동래구,74245,97629,14656,1663,154,1254,45737
Busan,남구,69214,91037,13662,1414,137,1166,46226
Busan,북구,77258,93564,13884,1501,183,1292,47313
Busan,해운대구,97486,135755,18806,1898,236,1596,69434
Busan,기장군,48742,53493,8181,847,107,733,33125
Busan,사하구,82504,99642,13814,1538,201,1378,59518
Busan,금정구,55470,79737,11899,1306,117,986,38633
Busan,강서구,40580,40065,7254,710,86,562,23361
Busan,연제구,58466,75594,11530,1272,137,1026,36883
Busan,수영구,44558,63669,9057,1049,94,904,34338
Busan,사상구,56307,69496,9897,1157,169,1009,40316
Daegu,중구,16317,44323,6934,580,52,481,16494
Daegu,동구,57694,160000,19509,1812,208,1655,59241
Daegu,서구,21840,83588,7554,674,115,796,32814
Daegu,남구,20940,66687,7096,730,82,705,28839
Daegu,북구,68670,189776,24603,2359,266,1999,70951
Daegu,수성구,65324,189622,25604,2265,203,1558,61862
Daegu,달서구,83001,246446,29887,2750,280,2303,87997
Daegu,달성군,42728,109225,13515,1287,142,1121,44172
Daegu,군위군,2616,14246,674,74,14,121,3657
Incheon,중구,57340,40941,10655,1047,107,807,35517
Incheon,동구,20014,17018,2891,509,63,304,10864
Incheon,미추홀구,136342,108442,23356,2761,314,2074,93541
Incheon,연수구,128989,108641,26485,2721,213,1688,63859
Incheon,남동구,168404,125604,26957,3350,354,2322,94640
Incheon,부평구,178154,125578,29201,3707,367,2534,96403
Incheon,계양구,106747,69027,15369,1952,191,1442,54005
Incheon,서구,223841,147562,38226,4225,419,2863,116448
Incheon,강화군,19095,26323,2497,367,47,305,14765
Incheon,옹진군,5369,7816,1102,104,23,189,3951
Gwangju,동구,63684,7402,5212,722,64,461,14741
Gwangju,서구,168407,16782,12238,1627,176,1110,39793
Gwangju,남구,126148,12337,8635,1204,127,768,27193
Gwangju,북구,257145,23544,18674,2770,289,1695,58355
Gwangju,광산구,229298,19872,17345,2444,278,1691,52240
Daejeon,동구,70915,62048,12499,1322,229,1225,46006
Daejeon,중구,71677,65844,12510,1428,189,1246,43513
Daejeon,서구,148720,124865,30731,3264,313,2584,85566
Daejeon,유성구,123402,93434,29350,2806,227,2004,56119
Daejeon,대덕구,55607,47358,9634,1085,151,942,33069
Ulsan,중구,56743,72445,11302,1584,173,986,34767
Ulsan,남구,81512,106707,18960,2185,220,1558,52617
Ulsan,동구,47822,41934,8034,1670,123,804,26424
Ulsan,북구,69055,57703,12795,2266,178,1087,33394
Ulsan,울주군,60688,74391,12086,1594,205,1140,39357
Sejong-si,세종특별자치시,140620,83965,25004,2961,235,1910,52372
Gyeonggi-do,수원시장안구,98188,72781,19284,1877,198,1420,45141
Gyeonggi-do,수원시권선구,127809,91049,23247,2357,221,1847,67421
Gyeonggi-do,수원시팔달구,64971,52733,13752,1241,149,1034,38678
Gyeonggi-do,수원시영통구,122204,92635,31281,2553,216,1859,50494
Gyeonggi-do,성남시수정구,89700,59467,14371,1277,116,1140,42083
Gyeonggi-do,성남시중원구,83821,49360,11240,1118,138,1029,37362
