primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
서울특별시,종로구,"47,735","39,574","9,326","1,754",89,783,"26,640"
서울특별시,중구,"40,482","36,302","8,450","1,120",62,750,"23,015"
서울특별시,용산구,"58,705","67,927","13,794","2,166",102,"1,119","39,801"
서울특별시,성동구,"88,028","84,043","20,217","2,300",187,"1,507","48,254"
서울특별시,광진구,"114,304","94,752","25,469","2,912",225,"2,145","61,200"
서울특별시,동대문구,"117,631","97,549","25,928","2,886",245,"2,025","61,582"
서울특별시,중랑구,"137,420","102,137","22,923","2,780",290,"2,092","74,718"
서울특별시,성북구,"152,624","111,271","29,394","4,461",246,"2,303","73,703"
서울특별시,강북구,"105,780","72,792","15,575","2,240",186,"1,563","59,835"
서울특별시,도봉구,"110,614","84,148","17,568","2,387",189,"1,593","56,443"
서울특별시,노원구,"176,604","131,061","35,615","4,201",345,"2,614","80,279"
서울특별시,은평구,"171,417","118,639","28,163","4,925",311,"2,681","85,653"
서울특별시,서대문구,"107,451","81,882","21,264","3,735",178,"1,751","52,849"
서울특별시,마포구,"125,049","101,016","26,948","5,053",219,"2,248","60,769"
서울특별시,양천구,"143,686","122,867","27,234","3,526",291,"2,033","68,392"
서울특별시,강서구,"196,256","149,837","38,416","4,704",411,"3,255","100,131"
서울특별시,구로구,"139,034","108,039","25,433","3,282",278,"2,130","66,024"
서울특별시,금천구,"83,102","58,686","15,979","1,775",175,"1,415","44,989"
서울특별시,영등포구,"123,593","111,861","29,911","3,607",231,"2,393","63,540"
서울특별시,동작구,"128,028","111,735","29,432","3,470",241,"2,389","62,690"
서울특별시,관악구,"171,149","126,951","43,385","5,231",433,"3,690","96,084"
서울특별시,서초구,"94,722","153,536","27,500","3,195",166,"1,794","64,942"
서울특별시,강남구,"119,722","210,177","37,564","3,738",205,"2,356","98,968"
서울특별시,송파구,"191,678","212,094","46,194","4,790",389,"3,381","103,128"
서울특별시,강동구,"160,645","149,529","33,664","3,662",304,"2,488","78,650"
부산광역시,중구,"9,784","14,167","1,861",184,26,201,"9,061"
부산광역시,서구,"26,800","38,496","5,081",583,72,559,"21,295"
부산광역시,동구,"22,744","31,875","4,061",429,66,457,"18,261"
부산광역시,영도구,"29,962","35,217","4,133",482,69,479,"23,567"
부산광역시,부산진구,"101,093","126,802","20,697","2,156",245,"1,941","72,729"
부산광역시,동래구,"74,245","97,629","14,656","1,663",154,"1,254","45,737"
부산광역시,남구,"69,214","91,037","13,662","1,414",137,"1,166","46,226"
부산광역시,북구,"77,258","93,564","13,884","1,501",183,"1,292","47,313"
부산광역시,해운대구,"97,486","135,755","18,806","1,898",236,"1,596","69,434"
부산광역시,기장군,"48,742","53,493","8,181",847,107,733,"33,125"
부산광역시,사하구,"82,504","99,642","13,814","1,538",201,"1,378","59,518"
부산광역시,금정구,"55,470","79,737","11,899","1,306",117,986,"38,633"
부산광역시,강서구,"40,580","40,065","7,254",710,86,562,"23,361"
부산광역시,연제구,"58,466","75,594","11,530","1,272",137,"1,026","36,883"
부산광역시,수영구,"44,558","63,669","9,057","1,049",94,904,"34,338"
부산광역시,사상구,"56,307","69,496","9,897","1,157",169,"1,009","40,316"
대구광역시,중구,"16,317","44,323","6,934",580,52,481,"16,494"
대구광역시,동구,"57,694","160,000","19,509","1,812",208,"1,655","59,241"
대구광역시,서구,"21,840","83,588","7,554",674,115,796,"32,814"
대구광역시,남구,"20,940","66,687","7,096",730,82,705,"28,839"
대구광역시,북구,"68,670","189,776","24,603","2,359",266,"1,999","70,951"
대구광역시,수성구,"65,324","189,622","25,604","2,265",203,"1,558","61,862"
대구광역시,달서구,"83,001","246,446","29,887","2,750",280,"2,303","87,997"
대구광역시,달성군,"42,728","109,225","13,515","1,287",142,"1,121","44,172"
대구광역시,군위군,"2,616","14,246",674,74,14,121,"3,657"
인천광역시,중구,"57,340","40,941","10,655","1,047",107,807,"35,517"
인천광역시,동구,"20,014","17,018","2,891",509,63,304,"10,864"
인천광역시,미추홀구,"136,342","108,442","23,356","2,761",314,"2,074","93,541"
인천광역시,연수구,"128,989","108,641","26,485","2,721",213,"1,688","63,859"
인천광역시,남동구,"168,404","125,604","26,957","3,350",354,"2,322","94,640"
인천광역시,부평구,"178,154","125,578","29,201","3,707",367,"2,534","96,403"
인천광역시,계양구,"106,747","69,027","15,369","1,952",191,"1,442","54,005"
인천광역시,서구,"223,841","147,562","38,226","4,225",419,"2,863","116,448"
