region,region_en,year,unemp_year
강원도,Gangwon-do,1990,1.087010622627026
강원도,Gangwon-do,1991,1.2538491462478478
강원도,Gangwon-do,1992,1.170429884437437
강원도,Gangwon-do,1993,1.003591360816615
강원도,Gangwon-do,1994,1.1982363050409073
강원도,Gangwon-do,1995,0.9479785196096743
강원도,Gangwon-do,1996,0.8923656784027336
강원도,Gangwon-do,1997,0.920172099006204
강원도,Gangwon-do,1998,4.0901040478018205
강원도,Gangwon-do,1999,4.587535011099814
강원도,Gangwon-do,2000,2.625
강원도,Gangwon-do,2001,2.35
강원도,Gangwon-do,2002,1.825
강원도,Gangwon-do,2003,2.05
강원도,Gangwon-do,2004,2.075
강원도,Gangwon-do,2005,1.8
강원도,Gangwon-do,2006,1.325
강원도,Gangwon-do,2007,1.875
강원도,Gangwon-do,2008,1.725
강원도,Gangwon-do,2009,2.1
강원도,Gangwon-do,2010,2.65
강원도,Gangwon-do,2011,2.25
강원도,Gangwon-do,2012,2.5
강원도,Gangwon-do,2013,2.3
강원도,Gangwon-do,2014,3.125
강원도,Gangwon-do,2015,3.225
강원도,Gangwon-do,2016,2.85
강원도,Gangwon-do,2017,2.65
강원도,Gangwon-do,2018,2.9250000000000003
강원도,Gangwon-do,2019,3.5999999999999996
강원도,Gangwon-do,2020,3.9499999999999997
강원도,Gangwon-do,2021,3.675
강원도,Gangwon-do,2022,3.2
강원도,Gangwon-do,2023,2.8
강원도,Gangwon-do,2024,2.8
강원도,Gangwon-do,2025,2.8
경기도,Gyeonggi-do,1990,2.791503267973856
경기도,Gyeonggi-do,1991,2.291754650578179
경기도,Gyeonggi-do,1992,2.616591251885369
경기도,Gyeonggi-do,1993,2.791503267973856
경기도,Gyeonggi-do,1994,2.341729512317747
경기도,Gyeonggi-do,1995,1.8669683257918535
경기도,Gyeonggi-do,1996,1.966918049270989
경기도,Gyeonggi-do,1997,3.2662644544997486
경기도,Gyeonggi-do,1998,8.61357466063349
경기도,Gyeonggi-do,1999,7.306762192056313
경기도,Gyeonggi-do,2000,3.9250000000000003
경기도,Gyeonggi-do,2001,3.575
경기도,Gyeonggi-do,2002,2.825
경기도,Gyeonggi-do,2003,3.35
경기도,Gyeonggi-do,2004,3.6
경기도,Gyeonggi-do,2005,3.825
경기도,Gyeonggi-do,2006,3.5
경기도,Gyeonggi-do,2007,3.3
경기도,Gyeonggi-do,2008,3.15
경기도,Gyeonggi-do,2009,3.775
경기도,Gyeonggi-do,2010,4
경기도,Gyeonggi-do,2011,3.425
경기도,Gyeonggi-do,2012,3.275
